supplier_id,supplier_name,risk_score,latitude,longitude,region,tier,annual_spend_usd,last_audit_date
SUP-000758,Supplier 758,0.92,-23.84,138.66,NA,2,3902189,2024-11-02
SUP-000759,Supplier 759,0.06,60.62,-31.08,APAC,1,2722459,2024-07-06
SUP-000760,Supplier 760,0.46,-38.54,-92.39,APAC,4,1279862,2025-10-17
SUP-000761,Supplier 761,0.71,68.46,-164.17,EMEA,4,317815,2026-03-06
SUP-000762,Supplier 762,0.16,-17.5,32.79,NA,1,3918455,2024-07-03
SUP-000763,Supplier 763,0.06,-48.51,147.55,NA,1,124321,2025-01-27
SUP-000764,Supplier 764,0.15,-27.67,64.04,NA,4,2116601,2025-03-27
SUP-000765,Supplier 765,0.91,-52.41,-65.79,EMEA,4,180936,2025-10-14
SUP-000766,Supplier 766,0.02,42.7,51.44,NA,4,3879846,
SUP-000767,Supplier 767,0.19,6.63,119.54,NA,3,4949226,2025-05-08
SUP-000768,Supplier 768,0.04,-16.19,-8.7,EMEA,4,1621808,2025-04-20
SUP-000769,Supplier 769,0.12,26.07,115.11,APAC,2,1574909,2024-01-11
SUP-000770,Supplier 770,0.62,21.98,-38.91,NA,4,2827624,2025-06-22
SUP-000771,Supplier 771,0.25,62.18,-54.54,LATAM,4,2514930,
SUP-000772,Supplier 772,0.57,64.96,29.88,LATAM,1,1914236,2026-07-24
SUP-000773,Supplier 773,0.59,28.49,-12.71,EMEA,1,1835743,2025-04-26
SUP-000774,Supplier 774,0.84,46.32,171.76,EMEA,3,946502,2026-04-29
SUP-000775,Supplier 775,0.01,43.02,5.9,NA,4,1261267,2024-11-25
SUP-000776,Supplier 776,0.85,3.87,-41.34,EMEA,4,2932308,2025-10-18
SUP-000777,Supplier 777,0.62,31.58,-37.82,APAC,1,3674597,2026-05-01
SUP-000778,Supplier 778,0.17,-49.83,17.26,APAC,2,3756645,2024-05-25
SUP-000779,Supplier 779,0.77,38.54,-52.23,EMEA,4,2587170,2025-06-19
SUP-000780,Supplier 780,0.85,65.04,80.25,APAC,1,3768004,
SUP-000781,Supplier 781,0.26,-48.95,-42.96,NA,3,2964151,2025-06-08
SUP-000782,Supplier 782,0.91,48.7,-41.71,LATAM,2,1787884,2026-04-22
SUP-000783,Supplier 783,0.46,61.29,42.11,NA,1,1773253,2025-01-31
SUP-000784,Supplier 784,0.6,-30.6,-158.1,EMEA,1,2598371,2026-04-17
SUP-000785,Supplier 785,0.97,8.23,55.93,NA,3,1545213,
SUP-000786,Supplier 786,0.36,60.62,1.79,LATAM,4,3821255,2025-03-28
SUP-000787,Supplier 787,0.81,64.83,-16.91,APAC,1,934130,2024-07-21
SUP-000788,Supplier 788,0.32,-43.38,78.93,APAC,2,281942,2024-06-10
SUP-000789,Supplier 789,0.79,-14.63,92.97,APAC,1,2460804,2024-09-29
SUP-000790,Supplier 790,0.6,30.76,124.65,LATAM,3,368722,2025-12-13
SUP-000791,Supplier 791,0.22,-31.2,-45.07,APAC,4,966004,2025-03-17
SUP-000792,Supplier 792,0.42,-17.78,-62.27,LATAM,4,1887351,2025-01-01
SUP-000793,Supplier 793,0.32,-56.97,77.16,NA,2,30821,2025-03-16
SUP-000794,Supplier 794,0.09,-40.04,29.45,LATAM,2,1125123,2024-11-21
SUP-000795,Supplier 795,0.04,13.1,47.45,EMEA,2,2728418,2026-01-31
SUP-000796,Supplier 796,0.35,24.9,19.99,EMEA,4,1879483,
SUP-000797,Supplier 797,0.03,24.36,98.17,APAC,2,4482833,2025-03-21
SUP-000798,Supplier 798,0.17,41.19,-111.59,EMEA,1,477827,
SUP-000799,Supplier 799,0.72,-6.01,20.06,EMEA,4,3601426,2025-09-02
SUP-000800,Supplier 800,0.7,-24.45,-123.08,LATAM,1,2964120,2024-11-10
SUP-000801,Supplier 801,0.73,-57.97,-33.39,APAC,4,3224779,2024-03-10
SUP-000802,Supplier 802,0.32,-33.14,59.04,LATAM,1,3361985,2025-10-13
SUP-000803,Supplier 803,0.88,-19.39,-2.49,LATAM,3,271264,2025-06-12
SUP-000804,Supplier 804,0.59,-36.83,-43.35,LATAM,2,3961284,2025-09-03
SUP-000805,Supplier 805,0.13,-57.38,138.59,NA,3,1663498,2025-05-28
SUP-000806,Supplier 806,0.15,-39.53,98.22,LATAM,2,3256109,2025-04-25
SUP-000807,Supplier 807,0.69,26.59,9.46,LATAM,2,1476827,
SUP-000808,Supplier 808,0.18,21.85,162.02,NA,2,1987943,2024-02-20
SUP-000809,Supplier 809,0.51,61.64,-27.23,EMEA,4,3503172,2024-03-28
SUP-000810,Supplier 810,0.98,43.76,103.71,LATAM,1,4675291,2026-06-03
SUP-000811,Supplier 811,0.01,13.81,-119.54,NA,1,4391056,2026-04-17
SUP-000812,Supplier 812,0.03,-42.12,-77.11,LATAM,1,3634396,2025-01-23
SUP-000813,Supplier 813,0.98,13.33,-58.29,EMEA,3,2697303,2025-05-25
SUP-000814,Supplier 814,0.58,-51.99,-141.9,NA,3,2643129,2025-02-28
SUP-000815,Supplier 815,0.13,-3.98,0.65,LATAM,3,4828415,2026-07-30
SUP-000816,Supplier 816,0.89,-9.27,-110.79,APAC,1,1042183,2025-03-06
SUP-000817,Supplier 817,0.87,-4.38,48.31,NA,4,4770860,2025-12-18
SUP-000818,Supplier 818,0.54,-23.62,-111.57,LATAM,4,3248385,
SUP-000819,Supplier 819,0.62,29.16,-135.54,EMEA,4,3084483,2024-12-25
SUP-000820,Supplier 820,0.28,49.32,168.87,LATAM,4,2962685,2025-09-28
SUP-000821,Supplier 821,0.06,39.91,56.97,LATAM,2,4064261,2025-01-11
SUP-000822,Supplier 822,0.59,21.61,157.12,NA,3,3419816,2024-01-14
SUP-000823,Supplier 823,0.3,9.98,-3.64,LATAM,2,483199,2024-06-12
SUP-000824,Supplier 824,0.66,-55.96,-167.98,NA,3,3907812,2026-04-04
SUP-000825,Supplier 825,0.83,33.98,26.77,APAC,2,3646378,2024-12-12
SUP-000826,Supplier 826,0.03,10.85,21.0,APAC,3,4576097,2024-04-06
SUP-000827,Supplier 827,0.59,-24.8,-174.61,LATAM,4,4682998,2026-06-05
SUP-000828,Supplier 828,0.24,-17.38,130.05,EMEA,3,4745792,2026-08-01
SUP-000829,Supplier 829,0.87,61.63,43.19,NA,4,223445,2025-04-16
SUP-000830,Supplier 830,0.26,21.17,88.09,EMEA,4,3154625,2025-08-15
SUP-000831,Supplier 831,0.61,1.87,-2.19,EMEA,1,4672738,2025-12-13
SUP-000832,Supplier 832,0.55,20.72,42.62,LATAM,4,4830120,2024-03-03
SUP-000833,Supplier 833,0.4,-6.21,-87.31,EMEA,4,2751010,2024-10-07
SUP-000834,Supplier 834,0.67,1.12,170.55,NA,2,4557997,
SUP-000835,Supplier 835,0.72,-22.26,-35.74,NA,3,4403410,2025-06-02
SUP-000836,Supplier 836,0.57,-2.82,-121.56,LATAM,3,23045,2024-11-08
SUP-000837,Supplier 837,0.75,29.13,-159.87,LATAM,4,4426087,2024-01-02
SUP-000838,Supplier 838,0.97,-54.81,49.02,LATAM,4,3191711,2026-06-18
SUP-000839,Supplier 839,0.42,43.35,174.02,NA,1,2872882,2025-08-03
SUP-000840,Supplier 840,0.51,-23.21,142.49,EMEA,1,900562,2025-12-14
SUP-000841,Supplier 841,0.02,28.73,72.76,APAC,1,4594210,2025-02-16
SUP-000842,Supplier 842,0.79,23.55,176.62,APAC,3,1483011,2025-04-23
SUP-000843,Supplier 843,0.52,24.84,80.22,NA,4,2094931,2025-02-23
SUP-000844,Supplier 844,0.41,19.06,-57.87,APAC,3,1494525,2025-02-09
SUP-000845,Supplier 845,0.1,64.68,36.44,NA,1,4848514,2025-09-25
SUP-000846,Supplier 846,0.88,6.08,-151.28,LATAM,3,2420816,2026-07-29
SUP-000847,Supplier 847,0.4,35.2,-100.19,NA,2,578978,2026-01-03
SUP-000848,Supplier 848,0.68,31.71,-29.69,APAC,2,64222,2025-09-22
SUP-000849,Supplier 849,0.16,-29.29,-107.35,NA,4,4901058,2024-01-12
SUP-000850,Supplier 850,0.95,-23.17,163.26,LATAM,2,1186624,2025-04-30
SUP-000851,Supplier 851,0.18,-4.88,178.42,EMEA,3,3855902,2026-06-21
SUP-000852,Supplier 852,0.21,-23.9,-46.46,EMEA,1,155313,2025-01-10
SUP-000853,Supplier 853,0.85,-12.32,75.32,LATAM,2,4485000,2025-06-02
SUP-000854,Supplier 854,0.9,-9.18,-33.2,APAC,3,3256287,2024-11-02
SUP-000855,Supplier 855,0.22,18.5,-129.78,APAC,3,1131478,2024-06-29
SUP-000856,Supplier 856,0.47,-31.41,-58.71,NA,4,4447545,2025-10-27
SUP-000857,Supplier 857,0.73,44.56,-95.99,APAC,2,1496109,2024-10-22
SUP-000858,Supplier 858,0.87,-3.12,-61.89,LATAM,4,4988965,2025-07-08
SUP-000859,Supplier 859,0.38,31.81,-102.59,NA,4,3001604,2025-07-14
SUP-000860,Supplier 860,0.52,-49.41,-139.56,EMEA,2,2248298,2026-03-11
SUP-000861,Supplier 861,0.74,1.1,-101.73,NA,1,301991,2026-06-04
SUP-000862,Supplier 862,0.73,-56.33,146.07,NA,2,1308104,2025-06-06
SUP-000863,Supplier 863,0.78,27.87,-149.32,LATAM,3,300900,2024-02-17
SUP-000864,Supplier 864,0.57,-15.32,-63.09,APAC,4,4266986,2025-07-03
SUP-000865,Supplier 865,0.11,63.4,10.24,EMEA,3,509863,2026-04-15
SUP-000866,Supplier 866,0.9,-17.86,-52.38,LATAM,3,574661,2025-03-26
SUP-000867,Supplier 867,0.86,13.29,6.34,LATAM,1,631197,
SUP-000868,Supplier 868,0.79,-26.54,-164.37,NA,3,4871452,2025-12-20
SUP-000869,Supplier 869,0.11,20.61,53.49,EMEA,4,4853093,2025-02-18
SUP-000870,Supplier 870,0.21,0.72,22.85,EMEA,2,3577038,2025-01-26
SUP-000871,Supplier 871,0.74,-11.82,65.15,APAC,4,378002,2025-03-31
SUP-000872,Supplier 872,0.03,-33.52,24.21,LATAM,1,2524633,2026-03-15
SUP-000873,Supplier 873,0.97,-45.5,-22.35,EMEA,4,4742564,2025-04-05
SUP-000874,Supplier 874,0.38,-44.42,-53.95,NA,4,492286,2024-11-04
SUP-000875,Supplier 875,0.71,69.88,-98.48,LATAM,3,3969999,2025-07-17
SUP-000876,Supplier 876,0.88,-6.4,0.02,EMEA,3,100797,2025-10-15
SUP-000877,Supplier 877,0.4,-59.75,-170.62,NA,4,4021673,2026-05-11
SUP-000878,Supplier 878,0.32,63.88,-61.83,LATAM,2,2727215,2026-04-22
SUP-000879,Supplier 879,0.61,-57.4,64.03,LATAM,1,4440604,2026-01-09
SUP-000880,Supplier 880,0.58,-5.58,-140.86,APAC,4,2075114,
SUP-000881,Supplier 881,0.41,33.27,-157.36,APAC,1,3928769,2025-02-28
SUP-000882,Supplier 882,0.6,58.9,54.78,LATAM,3,4214895,2024-11-19
SUP-000883,Supplier 883,0.93,32.68,-36.8,APAC,2,1631270,2025-06-15
SUP-000884,Supplier 884,0.47,0.27,108.66,EMEA,4,3215104,2025-10-28
SUP-000885,Supplier 885,0.2,66.68,157.43,LATAM,4,2309864,2025-05-04
SUP-000886,Supplier 886,0.38,-54.89,164.53,LATAM,2,2165162,2024-07-14
SUP-000887,Supplier 887,0.4,68.3,-26.79,NA,3,4000675,2024-01-14
SUP-000888,Supplier 888,0.14,50.42,-84.84,NA,2,1137775,2024-02-24
SUP-000889,Supplier 889,0.17,60.76,39.1,NA,2,607050,2025-02-06
SUP-000890,Supplier 890,0.68,-26.88,46.15,LATAM,4,2407306,2026-01-17
SUP-000891,Supplier 891,0.34,-41.48,44.04,NA,2,4110029,2026-01-15
SUP-000892,Supplier 892,0.95,26.23,-64.16,NA,4,823341,2026-02-01
SUP-000893,Supplier 893,0.25,7.06,-157.05,APAC,3,1707688,2025-10-31
SUP-000894,Supplier 894,0.11,8.01,-104.4,LATAM,4,3338393,2024-01-22
SUP-000895,Supplier 895,0.75,60.2,-124.41,LATAM,3,2389499,2026-04-13
SUP-000896,Supplier 896,0.87,20.61,-135.4,LATAM,4,3032588,2026-06-13
SUP-000897,Supplier 897,0.28,-19.56,153.46,NA,2,2644811,2026-03-13
SUP-000898,Supplier 898,0.21,-7.99,-175.01,APAC,2,4052256,2025-02-24
SUP-000899,Supplier 899,0.19,-42.65,36.67,NA,2,4377533,2024-07-21
SUP-000900,Supplier 900,0.52,-35.0,161.09,NA,1,2253151,2026-05-04
SUP-000901,Supplier 901,0.47,-41.36,-50.38,APAC,1,2163750,2024-06-23
SUP-000902,Supplier 902,0.26,45.34,9.76,EMEA,2,1400456,2026-01-14
SUP-000903,Supplier 903,0.05,31.63,70.48,NA,4,2224270,2026-06-30
SUP-000904,Supplier 904,0.48,8.94,-65.82,NA,4,4183612,2026-04-30
SUP-000905,Supplier 905,0.95,-11.33,-8.05,LATAM,3,2513248,
SUP-000906,Supplier 906,0.65,26.9,114.16,EMEA,2,3458075,2026-02-25
SUP-000907,Supplier 907,0.5,45.68,88.33,NA,3,2097852,2026-02-23
SUP-000908,Supplier 908,0.12,54.56,111.04,LATAM,4,3536478,2026-07-08
SUP-000909,Supplier 909,0.26,11.11,175.44,APAC,1,3565031,2024-12-06
SUP-000910,Supplier 910,0.3,46.59,-46.68,LATAM,4,2645142,2025-08-16
SUP-000911,Supplier 911,0.76,6.47,88.95,APAC,4,4673148,2026-02-10
SUP-000912,Supplier 912,0.87,1.69,37.0,APAC,4,4381133,2024-08-02
SUP-000913,Supplier 913,0.89,52.51,59.98,LATAM,1,800507,2024-07-31
SUP-000914,Supplier 914,0.97,-9.77,86.35,APAC,4,1146639,2025-01-02
SUP-000915,Supplier 915,0.97,-8.53,89.9,APAC,3,4774436,2024-12-05
SUP-000916,Supplier 916,0.94,-20.36,138.87,APAC,3,2014443,2025-12-10
SUP-000917,Supplier 917,0.08,7.43,-54.24,EMEA,1,1558866,2026-06-02
SUP-000918,Supplier 918,0.15,10.83,55.25,LATAM,2,3983200,2024-05-28
SUP-000919,Supplier 919,0.31,25.86,-79.1,NA,2,3014718,2024-11-02
SUP-000920,Supplier 920,0.55,-4.03,34.04,EMEA,4,673474,
SUP-000921,Supplier 921,0.11,-31.68,90.42,NA,2,467995,2025-07-15
SUP-000922,Supplier 922,0.84,52.69,104.76,EMEA,1,4042466,2024-07-12
SUP-000923,Supplier 923,0.61,-15.02,-28.76,NA,4,3826653,2025-07-23
SUP-000924,Supplier 924,0.54,59.98,3.14,APAC,1,1769450,2026-04-06
SUP-000925,Supplier 925,0.17,-33.04,-59.81,APAC,4,4313642,2024-12-18
SUP-000926,Supplier 926,0.26,12.81,-119.15,NA,4,636263,2025-04-01
SUP-000927,Supplier 927,0.17,9.76,-86.21,APAC,2,4346479,2025-08-02
SUP-000928,Supplier 928,0.84,47.72,148.37,APAC,3,404955,2026-03-04
SUP-000929,Supplier 929,0.58,-41.95,-68.77,NA,4,3183991,2025-06-16
SUP-000930,Supplier 930,0.73,58.29,170.91,EMEA,3,4216713,2026-06-23
SUP-000931,Supplier 931,0.3,9.09,-93.07,APAC,3,3100311,2025-12-13
SUP-000932,Supplier 932,0.37,16.19,80.31,APAC,1,3895291,2025-02-02
SUP-000933,Supplier 933,0.41,6.32,26.61,EMEA,3,1725631,2025-04-05
SUP-000934,Supplier 934,0.75,-55.32,70.87,APAC,3,1447326,2025-10-19
SUP-000935,Supplier 935,0.77,4.62,51.82,EMEA,3,1337001,
SUP-000936,Supplier 936,0.21,-25.74,74.43,LATAM,4,590647,2024-08-02
SUP-000937,Supplier 937,0.93,-15.45,146.0,EMEA,4,1393878,2024-08-12
SUP-000938,Supplier 938,0.13,24.38,22.85,LATAM,3,1243699,2026-01-25
SUP-000939,Supplier 939,0.89,4.7,-155.57,LATAM,2,3785931,2026-02-15
SUP-000940,Supplier 940,0.11,-47.88,-82.5,APAC,2,1072808,2026-02-13
SUP-000941,Supplier 941,0.27,-50.5,74.96,LATAM,1,838132,2024-04-09
SUP-000942,Supplier 942,0.84,-35.86,-2.13,LATAM,3,3667947,2024-10-05
SUP-000943,Supplier 943,0.19,-35.18,17.48,EMEA,2,2693872,2024-10-21
SUP-000944,Supplier 944,0.42,19.08,34.77,APAC,4,1085659,2024-01-23
SUP-000945,Supplier 945,0.45,-36.88,-42.25,APAC,4,3532411,2024-08-31
SUP-000946,Supplier 946,0.25,54.62,98.6,APAC,4,1088331,
SUP-000947,Supplier 947,0.71,-32.73,80.47,EMEA,4,3930038,2026-04-16
SUP-000948,Supplier 948,0.84,-48.15,77.15,APAC,2,171017,2024-06-09
SUP-000949,Supplier 949,0.87,53.85,77.51,EMEA,2,2954767,2026-03-23
SUP-000950,Supplier 950,0.34,-21.61,140.53,NA,3,2988329,2026-02-11
SUP-000951,Supplier 951,0.53,-4.7,34.34,NA,2,1870446,2024-05-29
SUP-000952,Supplier 952,0.25,64.67,168.15,EMEA,2,3448007,2024-09-03
SUP-000953,Supplier 953,0.25,62.77,-137.09,LATAM,3,1904822,2025-03-08
SUP-000954,Supplier 954,0.17,32.94,47.51,LATAM,2,3270917,2026-06-09
SUP-000955,Supplier 955,0.93,-51.04,78.09,EMEA,4,1125536,2026-01-11
SUP-000956,Supplier 956,0.88,17.13,-8.2,EMEA,1,2847309,2026-07-06
SUP-000957,Supplier 957,0.77,68.58,-76.24,LATAM,2,3783741,2024-10-22
SUP-000958,Supplier 958,0.52,63.1,18.01,NA,3,4830713,2026-05-07
SUP-000959,Supplier 959,0.49,-46.22,-48.69,EMEA,4,1807856,2026-06-21
SUP-000960,Supplier 960,0.53,-8.52,147.28,LATAM,3,2368965,2025-07-20
SUP-000961,Supplier 961,0.54,-18.98,-51.55,EMEA,1,2386945,2024-05-25
SUP-000962,Supplier 962,0.44,-43.14,-116.75,EMEA,2,4302081,2024-09-09
SUP-000963,Supplier 963,0.14,30.32,27.5,LATAM,4,4813180,2024-05-01
SUP-000964,Supplier 964,0.13,-24.4,-37.44,NA,2,3233589,2026-02-01
SUP-000965,Supplier 965,0.94,-15.17,-145.48,EMEA,2,4112515,2024-10-22
SUP-000966,Supplier 966,0.48,-48.25,23.34,EMEA,1,429968,2025-10-24
SUP-000967,Supplier 967,0.94,4.74,13.62,APAC,3,3798785,2024-09-09
SUP-000968,Supplier 968,0.17,-39.44,-117.65,LATAM,1,4052341,2026-07-11
SUP-000969,Supplier 969,0.55,-3.83,35.15,LATAM,2,3577362,2025-12-31
SUP-000970,Supplier 970,0.21,-41.37,24.25,LATAM,3,2926098,2024-12-22
SUP-000971,Supplier 971,0.26,64.0,98.5,EMEA,4,4498900,2025-03-26
SUP-000972,Supplier 972,0.04,-41.15,-49.83,NA,1,3271093,2024-02-25
SUP-000973,Supplier 973,0.13,7.85,-90.45,EMEA,2,4233484,2024-05-09
SUP-000974,Supplier 974,0.91,-34.39,162.44,LATAM,1,909334,2026-07-31
SUP-000975,Supplier 975,0.33,-50.07,22.04,APAC,2,3330277,2026-02-09
SUP-000976,Supplier 976,0.61,-33.7,-170.23,LATAM,4,2193075,2026-03-02
SUP-000977,Supplier 977,0.47,-52.88,115.46,APAC,2,4342861,2025-08-30
SUP-000978,Supplier 978,0.4,-41.88,-109.17,EMEA,2,4404106,2024-07-28
SUP-000979,Supplier 979,0.53,4.15,102.97,EMEA,2,4221489,2024-04-09
SUP-000980,Supplier 980,0.19,24.74,73.86,EMEA,4,1085001,
SUP-000981,Supplier 981,0.98,-48.65,168.77,LATAM,3,2466595,2024-11-09
SUP-000982,Supplier 982,0.81,-2.67,167.61,NA,3,10623,2024-01-01
SUP-000983,Supplier 983,0.74,15.56,-81.21,NA,4,4898375,2024-01-22
SUP-000984,Supplier 984,0.47,-29.55,95.92,EMEA,3,1294968,2025-06-10
SUP-000985,Supplier 985,0.16,-11.63,-65.93,APAC,3,3125915,2026-03-04
SUP-000986,Supplier 986,0.91,-50.66,46.51,EMEA,3,2442836,2024-12-08
SUP-000987,Supplier 987,0.34,-31.38,35.19,NA,3,4524076,2026-08-01
SUP-000988,Supplier 988,0.06,0.68,-160.36,LATAM,1,4108177,2024-12-25
SUP-000989,Supplier 989,0.35,68.76,-178.13,LATAM,2,3886881,2025-11-23
SUP-000990,Supplier 990,0.79,69.51,-159.2,APAC,4,3220021,2024-08-18
SUP-000991,Supplier 991,0.62,67.35,-133.94,APAC,1,605714,2025-07-27
SUP-000992,Supplier 992,0.75,-5.0,-87.25,APAC,4,4596126,2024-09-16
SUP-000993,Supplier 993,0.79,-49.51,146.5,EMEA,3,322529,2026-01-04
SUP-000994,Supplier 994,0.22,-17.94,6.71,APAC,2,2283266,2025-03-05
SUP-000995,Supplier 995,0.92,-29.1,106.88,LATAM,1,1903324,2024-02-09
SUP-000996,Supplier 996,0.44,-58.16,121.79,APAC,4,1960167,2024-08-22
SUP-000997,Supplier 997,0.64,-47.62,84.58,EMEA,1,4886393,2024-11-28
SUP-000998,Supplier 998,0.01,-1.09,-39.1,EMEA,3,1164776,2025-03-16
SUP-000999,Supplier 999,0.98,-15.84,130.99,NA,1,2903992,2024-09-12
SUP-001000,Supplier 1000,0.29,-36.55,87.14,APAC,4,1098131,2025-06-29
SUP-001001,Supplier 1001,0.07,33.09,87.53,NA,1,4558624,2026-06-28
SUP-001002,Supplier 1002,0.46,-13.57,144.57,LATAM,4,3683188,2025-11-02
SUP-001003,Supplier 1003,0.14,50.74,35.52,LATAM,3,2080066,2024-10-20
SUP-001004,Supplier 1004,0.16,-28.67,10.29,LATAM,1,410992,2025-10-01
SUP-001005,Supplier 1005,0.63,9.99,140.46,LATAM,3,771942,2026-07-01
SUP-001006,Supplier 1006,0.4,-36.06,-16.39,LATAM,4,1221140,2024-08-16
SUP-001007,Supplier 1007,0.91,4.39,112.17,APAC,1,2037384,2024-08-07
SUP-001008,Supplier 1008,0.32,-40.18,-160.62,APAC,4,4430617,2024-02-06
SUP-001009,Supplier 1009,0.72,-38.99,-179.54,EMEA,4,606675,2026-03-06
SUP-001010,Supplier 1010,0.46,19.59,10.19,LATAM,3,2888834,2026-02-25
SUP-001011,Supplier 1011,0.66,-25.71,-153.5,EMEA,2,1743128,2025-01-25
SUP-001012,Supplier 1012,0.6,-37.59,171.56,LATAM,1,242472,2026-04-03
SUP-001013,Supplier 1013,0.47,60.87,-178.02,NA,2,3100447,2025-09-07
SUP-001014,Supplier 1014,0.94,-54.41,78.53,LATAM,4,3524232,2026-07-13
SUP-001015,Supplier 1015,0.35,13.47,-92.38,LATAM,3,4797806,2026-05-20
SUP-001016,Supplier 1016,0.18,11.27,168.32,APAC,3,2538345,
SUP-001017,Supplier 1017,0.67,-27.42,-42.65,NA,4,1633750,2025-01-05
SUP-001018,Supplier 1018,0.84,-1.14,-170.18,LATAM,2,4274063,2025-08-21
SUP-001019,Supplier 1019,0.05,-48.59,-170.3,APAC,1,1244312,2024-06-06
SUP-001020,Supplier 1020,0.45,33.77,19.21,APAC,4,3415345,2026-04-24
SUP-001021,Supplier 1021,0.88,-31.18,175.22,APAC,3,4717511,2024-10-27
SUP-001022,Supplier 1022,0.74,-34.86,172.72,LATAM,3,32188,2025-02-26
SUP-001023,Supplier 1023,0.98,-19.07,-58.58,APAC,3,4626633,2025-07-15
SUP-001024,Supplier 1024,0.53,57.31,-6.23,NA,4,1036638,2026-01-13
SUP-001025,Supplier 1025,0.66,43.54,-143.84,APAC,4,2413063,2025-11-21
SUP-001026,Supplier 1026,0.31,63.1,7.98,NA,3,1297238,2026-06-20
SUP-001027,Supplier 1027,0.94,24.76,35.89,APAC,4,731066,2025-11-04
SUP-001028,Supplier 1028,0.37,26.18,-89.62,EMEA,2,3514139,2026-01-21
SUP-001029,Supplier 1029,0.73,2.4,40.36,NA,3,2416120,2025-06-24
SUP-001030,Supplier 1030,0.41,57.67,143.89,APAC,4,2551477,2025-01-27
SUP-001031,Supplier 1031,0.56,6.41,-179.66,LATAM,1,2423168,2026-05-12
SUP-001032,Supplier 1032,0.72,-13.84,-97.58,EMEA,3,3739763,2024-12-22
SUP-001033,Supplier 1033,0.51,23.25,-104.43,EMEA,3,4830853,2025-08-08
SUP-001034,Supplier 1034,0.9,11.0,-135.4,EMEA,3,2569207,2024-10-02
SUP-001035,Supplier 1035,0.42,-43.88,-120.2,NA,4,786409,2025-03-31
SUP-001036,Supplier 1036,0.64,-8.95,45.33,NA,2,1643649,2024-12-12
SUP-001037,Supplier 1037,0.35,-19.27,-143.03,NA,1,2485194,2024-08-31
SUP-001038,Supplier 1038,0.41,50.09,85.87,NA,1,527266,2026-02-13
SUP-001039,Supplier 1039,0.44,-10.75,139.33,EMEA,4,1153246,2025-12-25
SUP-001040,Supplier 1040,0.13,46.8,153.57,APAC,3,1021084,2025-10-24
SUP-001041,Supplier 1041,0.1,-2.49,57.66,EMEA,3,4865048,2024-03-19
SUP-001042,Supplier 1042,0.66,37.96,-108.94,EMEA,2,2009892,2024-08-23
SUP-001043,Supplier 1043,0.65,-42.41,-149.29,EMEA,2,4396432,2024-07-24
SUP-001044,Supplier 1044,0.66,60.2,-96.47,LATAM,4,2761756,2025-11-02
SUP-001045,Supplier 1045,0.03,2.47,166.3,EMEA,3,2535391,2026-04-22
SUP-001046,Supplier 1046,0.33,-26.23,166.44,APAC,4,4693800,2024-12-24
SUP-001047,Supplier 1047,0.2,-28.61,-42.51,EMEA,4,3462841,2024-11-07
SUP-001048,Supplier 1048,0.77,-25.54,-62.72,LATAM,4,1206203,2025-06-10
SUP-001049,Supplier 1049,0.85,-12.33,3.6,EMEA,3,1415421,2026-07-21
SUP-001050,Supplier 1050,0.25,33.28,-74.99,APAC,1,3333763,2024-12-15
SUP-001051,Supplier 1051,0.66,63.45,172.68,EMEA,3,21184,2024-09-19
SUP-001052,Supplier 1052,0.14,26.97,-100.36,LATAM,3,771204,2025-05-07
SUP-001053,Supplier 1053,0.28,11.13,-47.11,APAC,3,380884,2026-05-14
SUP-001054,Supplier 1054,0.15,-1.68,-25.43,LATAM,1,3571628,2025-11-19
SUP-001055,Supplier 1055,0.29,47.67,-134.98,APAC,4,2212306,2025-05-04
SUP-001056,Supplier 1056,0.67,50.46,-42.18,APAC,4,66590,2025-11-21
SUP-001057,Supplier 1057,0.9,-21.91,128.42,LATAM,2,3710868,2024-01-15
SUP-001058,Supplier 1058,0.21,63.94,-129.47,EMEA,2,3283040,2025-12-12
SUP-001059,Supplier 1059,0.54,-8.64,30.25,APAC,1,3595998,2024-04-02
SUP-001060,Supplier 1060,0.7,44.01,-33.61,NA,4,824456,2025-01-04
SUP-001061,Supplier 1061,0.94,65.69,-118.61,NA,1,4375960,2024-11-26
SUP-001062,Supplier 1062,0.61,31.48,-175.56,LATAM,2,909818,2025-10-13
SUP-001063,Supplier 1063,0.26,-39.0,-81.6,APAC,2,2858640,2024-08-14
SUP-001064,Supplier 1064,0.62,16.2,-157.74,LATAM,2,2798949,2024-08-13
SUP-001065,Supplier 1065,0.32,-44.56,-44.36,NA,3,1101424,2026-04-14
SUP-001066,Supplier 1066,0.97,42.59,111.68,EMEA,4,1883303,2025-03-26
SUP-001067,Supplier 1067,0.4,-23.43,79.09,NA,4,270468,2025-11-30
SUP-001068,Supplier 1068,0.68,30.38,161.06,NA,3,2361812,2025-07-04
SUP-001069,Supplier 1069,0.03,58.31,-26.27,APAC,1,3388792,
SUP-001070,Supplier 1070,0.4,-36.47,74.81,EMEA,4,1551355,
SUP-001071,Supplier 1071,0.87,-8.93,59.52,EMEA,2,2693466,2025-09-22
SUP-001072,Supplier 1072,0.61,24.13,-101.86,NA,4,4767800,2026-05-10
SUP-001073,Supplier 1073,0.45,-5.44,-70.71,NA,2,1180730,2026-01-10
SUP-001074,Supplier 1074,0.93,-37.27,10.74,EMEA,3,1460373,2024-10-14
